OrderID,CustomerID,OrderDate,Channel,Status
ORD-00068,CUST-0460,2024-12-16,InStore,Returned
ORD-00069,CUST-0141,2024-10-22,Marketplace,Delivered
ORD-00070,CUST-0144,2024-03-15,Marketplace,Delivered
ORD-00071,CUST-0400,2024-01-28,Marketplace,Delivered
ORD-00072,CUST-0371,2024-04-10,Online,Delivered
ORD-00073,CUST-0375,2024-08-09,Marketplace,Delivered
ORD-00074,CUST-0052,2024-01-11,Marketplace,Pending
ORD-00075,CUST-0212,2024-07-16,Online,Delivered
ORD-00076,CUST-0041,2024-08-10,Marketplace,Delivered
ORD-00077,CUST-0304,2024-05-17,InStore,Delivered
ORD-00078,CUST-0091,2024-10-19,Online,Delivered
ORD-00079,CUST-0039,2024-02-02,Online,Delivered
ORD-00080,CUST-0013,2024-01-24,Online,Delivered
ORD-00081,CUST-0388,2024-10-23,Marketplace,Delivered
ORD-00082,CUST-0096,2024-07-02,Online,Delivered
ORD-00083,CUST-0109,2024-10-06,Marketplace,Delivered
ORD-00084,CUST-0104,2024-06-19,InStore,Delivered
ORD-00085,CUST-0354,2024-04-08,Online,Delivered
ORD-00086,CUST-0231,2024-11-26,InStore,Returned
ORD-00087,CUST-0043,2024-11-29,InStore,Delivered
ORD-00088,CUST-0209,2024-10-03,Online,Delivered
ORD-00089,CUST-0088,2024-04-26,Online,Delivered
ORD-00090,CUST-0093,2024-08-14,InStore,Delivered
ORD-00091,CUST-0174,2024-05-25,InStore,Delivered
ORD-00092,CUST-0476,2024-02-16,Online,Delivered
ORD-00093,CUST-0126,2024-12-01,Online,Delivered
ORD-00094,CUST-0109,2024-02-21,Online,Delivered
ORD-00095,CUST-0047,2024-12-03,InStore,Delivered
ORD-00096,CUST-0214,2024-06-22,Online,Delivered
ORD-00097,CUST-0092,2024-03-26,Marketplace,Returned
ORD-00098,CUST-0181,2024-08-18,Marketplace,Delivered
ORD-00099,CUST-0409,2024-11-09,Online,Delivered
ORD-00100,CUST-0041,2024-10-06,Marketplace,Delivered
ORD-00101,CUST-0259,2024-11-23,Online,Delivered
ORD-00102,CUST-0121,2024-09-21,InStore,Delivered
ORD-00103,CUST-0077,2024-10-25,Online,Returned
ORD-00104,CUST-0095,2024-11-01,Marketplace,Pending
ORD-00105,CUST-0269,2024-04-21,Marketplace,Delivered
ORD-00106,CUST-0361,2024-07-27,Online,Delivered
ORD-00107,CUST-0018,2024-03-10,Online,Delivered
ORD-00108,CUST-0293,2024-12-27,Online,Delivered
ORD-00109,CUST-0171,2024-12-06,Online,Delivered
ORD-00110,CUST-0162,2024-01-23,Marketplace,Returned
ORD-00111,CUST-0465,2024-10-12,Marketplace,Delivered
ORD-00112,CUST-0311,2024-12-04,Online,Delivered
ORD-00113,CUST-0052,2024-03-28,Marketplace,Delivered
ORD-00114,CUST-0469,2024-08-13,Marketplace,Delivered
ORD-00115,CUST-0036,2024-12-17,Marketplace,Delivered
ORD-00116,CUST-0438,2024-01-31,Online,Delivered
ORD-00117,CUST-0187,2024-10-27,Online,Delivered
ORD-00118,CUST-0370,2024-04-08,Online,Delivered
ORD-00119,CUST-0248,2024-12-26,Marketplace,Delivered
ORD-00120,CUST-0052,2024-12-20,Online,Delivered
ORD-00121,CUST-0488,2024-12-03,Online,Delivered
ORD-00122,CUST-0019,2024-07-12,Online,Delivered
ORD-00123,CUST-0396,2024-11-07,Marketplace,Delivered
ORD-00124,CUST-0092,2024-11-12,Online,Delivered
ORD-00125,CUST-0139,2024-05-02,Online,Delivered
ORD-00126,CUST-0304,2024-11-24,Online,Delivered
ORD-00127,CUST-0357,2024-01-14,Online,Delivered
ORD-00128,CUST-0220,2024-08-22,Marketplace,Delivered
ORD-00129,CUST-0099,2024-04-23,Online,Delivered
ORD-00130,CUST-0236,2024-02-05,Online,Pending
ORD-00131,CUST-0207,2024-02-09,Marketplace,Delivered
ORD-00132,CUST-0144,2024-10-21,Online,Delivered
ORD-00133,CUST-0493,2024-05-11,Online,Delivered
ORD-00134,CUST-0199,2024-10-05,InStore,Delivered
ORD-00135,CUST-0303,2024-01-03,Online,Delivered
ORD-00136,CUST-0323,2024-05-27,Online,Delivered
ORD-00137,CUST-0287,2024-08-17,Online,Delivered
ORD-00138,CUST-0332,2024-11-02,Online,Delivered
ORD-00139,CUST-0264,2024-05-24,Marketplace,Delivered
ORD-00140,CUST-0217,2024-09-01,Marketplace,Returned
ORD-00141,CUST-0189,2024-11-07,Marketplace,Delivered
ORD-00142,CUST-0044,2024-09-30,Online,Delivered
ORD-00143,CUST-0434,2024-04-14,Online,Returned
ORD-00144,CUST-0291,2024-01-05,Marketplace,Returned
ORD-00145,CUST-0460,2024-11-19,InStore,Delivered
ORD-00146,CUST-0189,2024-01-28,Online,Delivered
ORD-00147,CUST-0469,2024-11-28,Online,Delivered
ORD-00148,CUST-0474,2024-07-31,Online,Delivered
ORD-00149,CUST-0439,2024-12-11,Online,Pending
ORD-00150,CUST-0194,2024-11-23,Online,Delivered
ORD-00151,CUST-0270,2024-12-25,Online,Delivered
ORD-00152,CUST-0366,2024-05-02,Marketplace,Returned
ORD-00153,CUST-0260,2024-10-08,Marketplace,Delivered
ORD-00154,CUST-0401,2024-06-09,Online,Delivered
ORD-00155,CUST-0239,2024-07-27,Online,Pending
ORD-00156,CUST-0112,2024-09-03,Marketplace,
ORD-00157,CUST-0069,2024-11-02,Online,Returned
ORD-00158,CUST-0408,2024-12-07,Marketplace,Delivered
ORD-00159,CUST-0049,2024-10-05,Online,Delivered
ORD-00160,CUST-0311,2024-06-21,Marketplace,Delivered
ORD-00161,CUST-0455,2024-06-26,Online,Delivered
ORD-00162,CUST-0151,2024-10-05,Online,Pending
ORD-00163,CUST-0239,2024-04-20,Online,Delivered
ORD-00164,CUST-0337,2024-02-13,Online,Delivered
ORD-00165,CUST-0396,2024-05-21,Online,Delivered
ORD-00166,CUST-0395,2024-04-29,Marketplace,Delivered
ORD-00167,CUST-0115,2024-04-20,Online,Delivered
ORD-00168,CUST-0075,2024-04-29,Online,Delivered
ORD-00169,CUST-0098,2024-01-06,Marketplace,Delivered
ORD-00170,CUST-0383,2024-01-20,Marketplace,Delivered
ORD-00171,CUST-0111,2024-12-18,InStore,Pending
ORD-00172,CUST-0357,2024-06-25,Marketplace,Delivered
ORD-00173,CUST-0370,2024-06-02,Online,Delivered
ORD-00174,CUST-0285,2024-09-25,Marketplace,Delivered
ORD-00175,CUST-0256,2024-03-26,InStore,Pending
ORD-00176,CUST-0318,2024-12-06,Marketplace,Delivered
ORD-00177,CUST-0309,2024-10-09,Online,Delivered
ORD-00178,CUST-0117,2024-02-25,Online,
ORD-00179,CUST-0176,2024-06-03,Online,Delivered
ORD-00180,CUST-0228,2024-11-01,Marketplace,Delivered
ORD-00181,CUST-0347,2024-12-01,Marketplace,Delivered
ORD-00182,CUST-0106,2024-07-19,Marketplace,Delivered
ORD-00183,CUST-0342,2024-09-05,Online,
ORD-00184,CUST-0384,2024-03-13,Marketplace,Delivered
ORD-00185,CUST-0450,2024-12-19,Marketplace,Delivered
ORD-00186,CUST-0239,2024-04-12,Online,Delivered
ORD-00187,CUST-0100,2024-12-16,Marketplace,Delivered
ORD-00188,CUST-0176,2024-09-25,Online,Delivered
ORD-00189,CUST-0350,2024-09-25,InStore,Delivered
ORD-00190,CUST-0443,2024-07-19,Marketplace,Delivered
ORD-00191,CUST-0455,2024-04-03,Marketplace,Delivered
ORD-00192,CUST-0441,2024-03-12,Marketplace,Delivered
ORD-00193,CUST-0249,2024-03-30,InStore,Delivered
ORD-00194,CUST-0076,2024-03-05,Online,Delivered
ORD-00195,CUST-0003,2024-10-02,Online,Delivered
ORD-00196,CUST-0081,2024-05-22,Marketplace,Delivered
ORD-00197,CUST-0361,2024-01-07,Online,Delivered
ORD-00198,CUST-0288,2024-12-13,Online,Delivered
ORD-00199,CUST-0008,2024-11-25,InStore,Pending
ORD-00200,CUST-0087,2024-12-15,Marketplace,Pending
ORD-00201,CUST-0486,2024-12-22,Online,Pending
ORD-00202,CUST-0286,2024-03-03,Online,Returned
ORD-00203,CUST-0399,2024-06-28,Online,Delivered
ORD-00204,CUST-0074,2024-10-21,Online,Delivered
ORD-00205,CUST-0439,2024-10-20,,Delivered
ORD-00206,CUST-0123,2024-03-31,Marketplace,
ORD-00207,CUST-0377,2024-11-05,Online,Pending
ORD-00208,CUST-0294,2024-03-24,Online,Delivered
ORD-00209,CUST-0143,2024-03-08,Online,Delivered
ORD-00210,CUST-0158,2024-08-22,InStore,Delivered
ORD-00211,CUST-0430,2024-08-01,Online,Returned
ORD-00212,CUST-0448,2024-08-08,Online,Returned
ORD-00213,CUST-0410,2024-02-24,Online,Delivered
ORD-00214,CUST-0371,2024-11-18,Marketplace,Returned
ORD-00215,CUST-0109,2024-04-20,Marketplace,Delivered
ORD-00216,CUST-0334,2024-02-28,Online,Delivered
ORD-00217,CUST-0195,2024-11-16,Online,Delivered
ORD-00218,CUST-0036,2024-12-18,Online,Delivered
ORD-00219,CUST-0090,2024-11-20,Marketplace,Delivered
ORD-00220,CUST-0462,2024-11-12,Marketplace,Delivered
ORD-00221,CUST-0415,2024-09-13,Online,Pending
ORD-00222,CUST-0462,2024-08-13,Online,Delivered
ORD-00223,CUST-0296,2024-02-10,Online,Delivered
ORD-00224,CUST-0330,2024-06-07,Online,Delivered
ORD-00225,CUST-0201,2024-05-25,Marketplace,Delivered
ORD-00226,CUST-0046,2024-04-14,Online,Delivered
ORD-00227,CUST-0488,2024-10-30,Online,Delivered
ORD-00228,CUST-0107,2024-07-24,Online,
ORD-00229,CUST-0170,2024-02-16,InStore,Delivered
ORD-00230,CUST-0146,2024-03-15,InStore,Delivered
ORD-00231,CUST-0356,2024-10-12,Online,Delivered
ORD-00232,CUST-0420,2024-02-09,Online,Returned
ORD-00233,CUST-0460,2024-11-08,Online,Delivered
ORD-00234,CUST-0178,2024-07-18,Online,Delivered
ORD-00235,CUST-0061,2024-07-23,Online,Delivered
ORD-00236,CUST-0424,2024-08-18,Marketplace,Delivered
ORD-00237,CUST-0003,2024-11-13,Marketplace,Delivered
ORD-00238,CUST-0082,2024-05-28,InStore,Pending
ORD-00239,CUST-0263,2024-09-27,,Delivered
ORD-00240,CUST-0287,2024-08-18,Marketplace,Delivered
ORD-00241,CUST-0321,2024-04-15,Marketplace,Delivered
ORD-00242,CUST-0095,2024-11-04,Online,Delivered
ORD-00243,CUST-0064,2024-11-17,Online,Delivered
ORD-00244,CUST-0246,2024-09-05,Online,Delivered
ORD-00245,CUST-0077,2024-11-22,Online,Delivered
ORD-00246,CUST-0477,2024-11-16,Online,Returned
ORD-00247,CUST-0259,2024-10-09,Marketplace,Delivered
ORD-00248,CUST-0093,2024-11-10,Online,Returned
ORD-00249,CUST-0291,2024-10-24,InStore,Returned
ORD-00250,CUST-0271,2024-09-18,Online,Pending
ORD-00251,CUST-0021,2024-09-17,InStore,Delivered
ORD-00252,CUST-0062,2024-10-18,Online,Delivered
ORD-00253,CUST-0339,2024-03-07,Marketplace,Delivered
ORD-00254,CUST-0412,2024-11-04,Online,Delivered
ORD-00255,CUST-0260,2024-11-26,Online,Pending
ORD-00256,CUST-0237,2024-01-05,InStore,Delivered
ORD-00257,CUST-0141,2024-11-28,Online,Delivered
ORD-00258,CUST-0463,2024-02-23,Marketplace,Delivered
ORD-00259,CUST-0435,2024-05-16,Marketplace,Delivered
ORD-00260,CUST-0432,2024-10-03,Online,Delivered
ORD-00261,CUST-0167,2024-03-26,Online,Delivered
ORD-00262,CUST-0480,2024-11-18,Marketplace,Delivered
ORD-00263,CUST-0067,2024-11-29,Online,Delivered
ORD-00264,CUST-0350,2024-07-23,Marketplace,Delivered
ORD-00265,CUST-0058,2024-01-21,InStore,Delivered
ORD-00266,CUST-0212,2024-04-14,Online,Delivered
ORD-00267,CUST-0130,2024-09-15,Online,Delivered
ORD-00268,CUST-0498,2024-12-17,Marketplace,Delivered
ORD-00269,CUST-0025,2024-09-01,Online,Returned
ORD-00270,CUST-0011,2024-04-25,Online,Returned
ORD-00271,CUST-0257,2024-09-21,Online,Pending
ORD-00272,CUST-0304,2024-08-17,Marketplace,Delivered
ORD-00273,CUST-0369,2024-10-23,Online,Returned
ORD-00274,CUST-0432,2024-02-25,Online,Returned
ORD-00275,CUST-0394,2024-10-11,Marketplace,Returned
ORD-00276,CUST-0081,2024-08-17,Online,Delivered
ORD-00277,CUST-0286,2024-12-26,Online,Pending
ORD-00278,CUST-0419,2024-05-14,InStore,Delivered
ORD-00279,CUST-0370,2024-09-29,Marketplace,Delivered
ORD-00280,CUST-0019,2024-12-20,Marketplace,Delivered
ORD-00281,CUST-0110,2024-02-19,Online,Delivered
ORD-00282,CUST-0437,2024-12-21,Marketplace,Delivered
ORD-00283,CUST-0034,2024-10-07,Online,Delivered
ORD-00284,CUST-0288,2024-01-24,Online,Delivered
ORD-00285,CUST-0332,2024-04-13,Online,Returned
ORD-00286,CUST-0491,2024-10-18,Online,Delivered
ORD-00287,CUST-0255,2024-01-23,Marketplace,Delivered
ORD-00288,CUST-0126,2024-08-30,Online,Delivered
ORD-00289,CUST-0209,2024-05-14,Marketplace,Delivered
ORD-00290,CUST-0134,2024-09-01,Marketplace,Delivered
ORD-00291,CUST-0499,2024-01-07,Marketplace,Delivered
ORD-00292,CUST-0397,2024-11-08,Online,Delivered
ORD-00293,CUST-0487,2024-12-18,Marketplace,Delivered
ORD-00294,CUST-0086,2024-12-09,Online,Delivered
ORD-00295,CUST-0075,2024-10-01,Online,Delivered
ORD-00296,CUST-0448,2024-02-29,InStore,Delivered
ORD-00297,CUST-0135,2024-10-22,Online,Pending
ORD-00298,CUST-0301,2024-01-17,Online,Delivered
ORD-00299,CUST-0173,2024-01-19,InStore,Delivered
ORD-00300,CUST-0213,2024-05-27,Online,Delivered
ORD-00301,CUST-0321,2024-07-06,Marketplace,Delivered
ORD-00302,CUST-0350,2024-10-03,Online,Delivered
ORD-00303,CUST-0019,2024-10-24,Online,Delivered
ORD-00304,CUST-0499,2024-06-05,Online,Delivered
ORD-00305,CUST-0119,2024-04-02,Online,
ORD-00306,CUST-0303,2024-12-20,Online,Delivered
ORD-00307,CUST-0302,2024-06-25,Marketplace,Delivered
ORD-00308,CUST-0285,2024-06-04,Marketplace,Pending
ORD-00309,CUST-0227,2024-03-10,InStore,Delivered
ORD-00310,CUST-0212,2024-11-10,Online,Delivered
ORD-00311,CUST-0356,2024-10-24,Marketplace,Pending
ORD-00312,CUST-0189,2024-03-21,Marketplace,Returned
ORD-00313,CUST-0487,2024-02-11,InStore,Delivered
ORD-00314,CUST-0321,2024-09-27,Online,Delivered
ORD-00315,CUST-0151,2024-09-16,Marketplace,Delivered
ORD-00316,CUST-0223,2024-04-26,InStore,Delivered
ORD-00317,CUST-0128,2024-12-29,Online,Delivered
ORD-00318,CUST-0248,2024-02-29,InStore,Delivered
ORD-00319,CUST-0051,2024-06-30,Online,Delivered
ORD-00320,CUST-0191,2024-12-31,Marketplace,Delivered
ORD-00321,CUST-0483,2024-06-17,InStore,Delivered
ORD-00322,CUST-0500,2024-09-16,Marketplace,Delivered
ORD-00323,CUST-0495,2024-06-07,Online,Delivered
ORD-00324,CUST-0237,2024-04-16,Online,Delivered
ORD-00325,CUST-0022,2024-12-03,InStore,Delivered
ORD-00326,CUST-0110,2024-06-26,Online,Delivered
ORD-00327,CUST-0327,2024-12-16,Online,Pending
ORD-00328,CUST-0033,2024-04-08,Marketplace,Delivered
ORD-00329,CUST-0127,2024-03-30,Online,Delivered
ORD-00330,CUST-0365,2024-01-12,Online,Returned
ORD-00331,CUST-0356,2024-09-03,Online,Delivered
ORD-00332,CUST-0044,2024-05-17,Online,Returned
ORD-00333,CUST-0007,2024-11-21,Marketplace,Delivered
ORD-00334,CUST-0128,2024-07-18,Marketplace,Delivered
ORD-00335,CUST-0091,2024-12-11,Marketplace,Delivered
ORD-00336,CUST-0130,2024-03-04,Marketplace,Delivered
ORD-00337,CUST-0017,2024-11-16,InStore,Delivered
ORD-00338,CUST-0321,2024-10-17,Marketplace,Returned
ORD-00339,CUST-0186,2024-10-09,Online,Delivered
ORD-00340,CUST-0110,2024-11-06,Marketplace,Delivered
ORD-00341,CUST-0286,2024-10-24,Online,Delivered
ORD-00342,CUST-0470,2024-09-27,Marketplace,Delivered
ORD-00343,CUST-0348,2024-02-20,Marketplace,Delivered
ORD-00344,CUST-0481,2024-01-25,Online,Delivered
ORD-00345,CUST-0410,2024-12-02,InStore,Delivered
ORD-00346,CUST-0163,2024-09-09,Online,Delivered
ORD-00347,CUST-0447,2024-11-28,Marketplace,Delivered
ORD-00348,CUST-0075,2024-07-21,Online,Returned
ORD-00349,CUST-0199,2024-02-29,InStore,Delivered
ORD-00350,CUST-0412,2024-02-06,Online,Delivered
ORD-00351,CUST-0409,2024-10-03,Online,Delivered
ORD-00352,CUST-0445,2024-06-20,Online,Delivered
ORD-00353,CUST-0361,2024-03-06,Online,Delivered
ORD-00354,CUST-0287,2024-07-07,Online,Pending
ORD-00355,CUST-0182,2024-01-01,Marketplace,Delivered
ORD-00356,CUST-0451,2024-08-23,Online,Delivered
ORD-00357,CUST-0097,2024-04-01,Online,Delivered
ORD-00358,CUST-0051,2024-11-05,Online,Delivered
ORD-00359,CUST-0314,2024-05-06,Marketplace,Delivered
ORD-00360,CUST-0034,2024-07-13,Marketplace,Returned
ORD-00361,CUST-0443,2024-01-02,Marketplace,Delivered
ORD-00362,CUST-0021,2024-01-15,Marketplace,Delivered
ORD-00363,CUST-0184,2024-06-15,Online,Delivered
ORD-00364,CUST-0293,2024-07-13,Online,Delivered
ORD-00365,CUST-0064,2024-08-26,Online,Delivered
ORD-00366,CUST-0497,2024-04-25,Marketplace,Returned
ORD-00367,CUST-0403,2024-10-14,InStore,Delivered
ORD-00368,CUST-0124,2024-11-26,Online,Pending
ORD-00369,CUST-0101,2024-10-22,Online,Delivered
ORD-00370,CUST-0119,2024-01-07,Online,Delivered
ORD-00371,CUST-0341,2024-07-14,Online,Delivered
ORD-00372,CUST-0078,2024-02-26,Marketplace,Delivered
ORD-00373,CUST-0458,2024-04-24,Online,Pending
ORD-00374,CUST-0181,2024-12-27,InStore,Delivered
ORD-00375,CUST-0199,2024-02-29,Online,Delivered
ORD-00376,CUST-0477,2024-07-10,InStore,Returned
ORD-00377,CUST-0447,2024-09-17,Marketplace,Delivered
ORD-00378,CUST-0360,2024-10-14,Marketplace,Returned
ORD-00379,CUST-0190,2024-08-08,Marketplace,Delivered
ORD-00380,CUST-0328,2024-01-04,Marketplace,Delivered
ORD-00381,CUST-0103,2024-05-26,Marketplace,Pending
ORD-00382,CUST-0333,2024-07-16,Marketplace,Delivered
ORD-00383,CUST-0366,2024-02-24,Marketplace,Returned
ORD-00384,CUST-0275,2024-05-13,InStore,Delivered
ORD-00385,CUST-0459,2024-01-31,Marketplace,Returned
ORD-00386,CUST-0130,2024-02-22,Marketplace,Delivered
ORD-00387,CUST-0241,2024-06-27,InStore,Delivered
ORD-00388,CUST-0134,2024-02-25,Online,Returned
ORD-00389,CUST-0157,2024-08-27,Online,Delivered
ORD-00390,CUST-0425,2024-10-20,Online,Delivered
ORD-00391,CUST-0435,2024-11-18,Marketplace,Returned
ORD-00392,CUST-0389,2024-03-14,Marketplace,Delivered
ORD-00393,CUST-0425,2024-03-18,Online,Pending
ORD-00394,CUST-0318,2024-02-05,Marketplace,Delivered
ORD-00395,CUST-0158,2024-09-26,,Delivered
ORD-00396,CUST-0359,2024-10-09,Online,Delivered
ORD-00397,CUST-0190,2024-01-28,Marketplace,Delivered
ORD-00398,CUST-0100,2024-12-03,Marketplace,Delivered
ORD-00399,CUST-0411,2024-01-08,Online,Delivered
ORD-00400,CUST-0434,2024-08-20,Marketplace,Delivered
ORD-00401,CUST-0466,2024-10-22,Marketplace,Delivered
ORD-00402,CUST-0052,2024-11-10,Online,Delivered
ORD-00403,CUST-0049,2024-10-22,Online,Returned
ORD-00404,CUST-0446,2024-11-19,InStore,Delivered
ORD-00405,CUST-0100,2024-05-30,Online,Delivered
ORD-00406,CUST-0444,2024-11-21,Online,Returned
ORD-00407,CUST-0382,2024-02-28,Online,Delivered
ORD-00408,CUST-0251,2024-12-03,Marketplace,Pending
ORD-00409,CUST-0374,2024-08-11,Marketplace,Delivered
ORD-00410,CUST-0464,2024-11-11,Marketplace,Delivered
ORD-00411,CUST-0054,2024-06-17,Online,Delivered
ORD-00412,CUST-0375,2024-09-16,InStore,Delivered
ORD-00413,CUST-0389,2024-07-07,Online,Delivered
ORD-00414,CUST-0137,2024-10-04,Online,Returned
ORD-00415,CUST-0162,2024-02-23,Online,Delivered
ORD-00416,CUST-0354,2024-01-19,Online,Delivered
ORD-00417,CUST-0292,2024-04-12,InStore,Delivered
ORD-00418,CUST-0479,2024-03-15,InStore,Delivered
ORD-00419,CUST-0500,2024-11-11,Online,Delivered
ORD-00420,CUST-0404,2024-03-05,InStore,Returned
ORD-00421,CUST-0081,2024-12-05,Marketplace,Delivered
ORD-00422,CUST-0468,2024-05-15,InStore,Delivered
ORD-00423,CUST-0220,2024-03-29,,Delivered
ORD-00424,CUST-0085,2024-11-18,Marketplace,
ORD-00425,CUST-0083,2024-09-11,Online,Pending
ORD-00426,CUST-0319,2024-07-26,Marketplace,Delivered
ORD-00427,CUST-0067,2024-08-12,Online,Pending
ORD-00428,CUST-0414,2024-10-02,Marketplace,Delivered
ORD-00429,CUST-0453,2024-04-20,Online,Pending
ORD-00430,CUST-0234,2024-12-15,Online,Delivered
ORD-00431,CUST-0198,2024-12-20,Marketplace,Delivered
ORD-00432,CUST-0259,2024-09-04,InStore,Delivered
ORD-00433,CUST-0177,2024-03-22,Marketplace,Delivered
ORD-00434,CUST-0298,2024-09-18,InStore,Delivered
ORD-00435,CUST-0280,2024-01-06,Online,Delivered
ORD-00436,CUST-0300,2024-01-23,Marketplace,Delivered
ORD-00437,CUST-0129,2024-04-27,Online,Pending
ORD-00438,CUST-0498,2024-07-26,Online,Delivered
ORD-00439,CUST-0371,2024-11-19,Marketplace,Delivered
ORD-00440,CUST-0438,2024-10-11,Marketplace,Delivered
ORD-00441,CUST-0180,2024-10-28,Marketplace,Pending
ORD-00442,CUST-0292,2024-06-24,Marketplace,Pending
ORD-00443,CUST-0207,2024-05-02,Marketplace,Delivered
ORD-00444,CUST-0489,2024-05-27,Online,Delivered
ORD-00445,CUST-0294,2024-12-08,Online,Delivered
ORD-00446,CUST-0428,2024-01-29,Marketplace,Delivered
ORD-00447,CUST-0338,2024-11-11,Online,Delivered
ORD-00448,CUST-0471,2024-08-05,Online,Returned
ORD-00449,CUST-0175,2024-06-18,Online,Delivered
ORD-00450,CUST-0029,2024-10-23,Marketplace,Delivered
ORD-00451,CUST-0179,2024-07-30,Online,
ORD-00452,CUST-0041,2024-11-18,Marketplace,Delivered
ORD-00453,CUST-0470,2024-12-14,Marketplace,Delivered
ORD-00454,CUST-0192,2024-06-22,Online,Delivered
ORD-00455,CUST-0344,2024-04-10,Marketplace,Delivered
ORD-00456,CUST-0237,2024-08-03,Marketplace,Returned
ORD-00457,CUST-0304,2024-12-09,Marketplace,Delivered
ORD-00458,CUST-0461,2024-03-03,Marketplace,Delivered
ORD-00459,CUST-0225,2024-09-11,Online,Pending
ORD-00460,CUST-0114,2024-09-12,Marketplace,Delivered
ORD-00461,CUST-0278,2024-10-12,Online,Delivered
ORD-00462,CUST-0355,2024-02-03,InStore,Delivered
ORD-00463,CUST-0017,2024-10-21,Marketplace,Delivered
ORD-00464,CUST-0086,2024-12-07,Marketplace,Delivered
ORD-00465,CUST-0389,2024-03-14,Online,Delivered
ORD-00466,CUST-0317,2024-04-24,Online,Delivered
